Institution,STEM,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,
UC Irvine,Y,Developmental and Cell Biology,Courses/Curriculum,,,,2/7/2025,Nate,2:34,,
,,,,,,,,,,,
UC Irvine,Y,Molecular Biology and Biochemistry,Home/Landing,,,https://mbb.bio.uci.edu/,2/7/2025,Nate,2:14,,
UC Irvine,Y,Molecular Biology and Biochemistry,Undergrad education,,,https://mbb.bio.uci.edu/undergraduates/,2/7/2025,Nate,2:14,,
UC Irvine,Y,Molecular Biology and Biochemistry,Prospective students,,,https://mbb.bio.uci.edu/undergraduates/major-biochemistry-molecular-biology/,2/7/2025,Nate,2:14,,
UC Irvine,Y,Molecular Biology and Biochemistry,Advising,,,,2/7/2025,Nate,2:14,,
UC Irvine,Y,Molecular Biology and Biochemistry,Research,,,https://mbb.bio.uci.edu/research/,2/7/2025,Nate,2:14,,
UC Irvine,Y,Molecular Biology and Biochemistry,Undergraduate Research,,,,2/7/2025,Nate,2:14,,
UC Irvine,Y,Molecular Biology and Biochemistry,DEI/JEDI,,,,2/7/2025,Nate,2:14,,
UC Irvine,Y,Molecular Biology and Biochemistry,Chair’s Message,Y,,https://mbb.bio.uci.edu/about/,2/7/2025,Nate,2:14,,
UC Irvine,Y,Molecular Biology and Biochemistry,About,,,https://mbb.bio.uci.edu/about/,2/7/2025,Nate,2:14,,
UC Irvine,Y,Molecular Biology and Biochemistry,Courses/Curriculum,,,,2/7/2025,Nate,2:14,,
,,,,,,,,,,,
UC Irvine,Y,Ecology and Evolutionary Biology,Home/Landing,,,https://ecoevo.bio.uci.edu/,2/7/2025,Nate,2:30,,
UC Irvine,Y,Ecology and Evolutionary Biology,Undergrad education,,,https://ecoevo.bio.uci.edu/undergraduates/,2/7/2025,Nate,2:30,,
UC Irvine,Y,Ecology and Evolutionary Biology,Prospective students,,,https://ecoevo.bio.uci.edu/undergraduates/admissions/,2/7/2025,Nate,2:30,,
UC Irvine,Y,Ecology and Evolutionary Biology,Advising,,,,2/7/2025,Nate,2:30,,
UC Irvine,Y,Ecology and Evolutionary Biology,Research,,,https://ecoevo.bio.uci.edu/research/,2/7/2025,Nate,2:30,,
UC Irvine,Y,Ecology and Evolutionary Biology,Undergraduate Research,,,https://ecoevo.bio.uci.edu/undergraduates/research-opportunities/,2/7/2025,Nate,2:30,,
UC Irvine,Y,Ecology and Evolutionary Biology,DEI/JEDI,,,https://ecoevo.bio.uci.edu/ardei/,2/7/2025,Nate,2:30,,
