Institution,STEM,Department,Website_Type,Subset,Outside_Dept,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,
UCSB,Y,Geography,Undergrad education,,,https://www.geog.ucsb.edu/academics/undergraduate,2/10/2025,Keya,1:28.01,,
UCSB,Y,Geography,Prospective students,,,https://www.geog.ucsb.edu/academics/undergraduate/declaring-major,2/10/2025,Keya,1:28.01,,
UCSB,Y,Geography,Advising,,,https://www.geog.ucsb.edu/academics/undergraduate/advising,2/10/2025,Keya,1:28.01,,
UCSB,Y,Geography,Research,,,https://www.geog.ucsb.edu/research,2/10/2025,Keya,1:28.01,,
UCSB,Y,Geography,Undergraduate Research,,,,2/10/2025,Keya,1:28.01,,
UCSB,Y,Geography,DEI/JEDI,,,https://www.geog.ucsb.edu/about/equity-diversity-inclusion,2/10/2025,Keya,1:28.01,,
UCSB,Y,Geography,Chair’s Message,,,,2/10/2025,Keya,1:28.01,,
UCSB,Y,Geography,About,,,https://www.geog.ucsb.edu/about,2/10/2025,Keya,1:28.01,,
UCSB,Y,Geography,Courses/Curriculum,,,https://www.geog.ucsb.edu/academics/undergraduate/courses,2/10/2025,Keya,1:28.01,,
,,,,,,,,,,,
UCSB,Y,Chemical Engineering,Home/Landing,,,https://chemengr.ucsb.edu/,2/10/2025,Keya,2:13.45,,
UCSB,Y,Chemical Engineering,Undergrad education,,,https://chemengr.ucsb.edu/undergraduate,2/10/2025,Keya,2:13.45,,
UCSB,Y,Chemical Engineering,Prospective students,,,https://chemengr.ucsb.edu/undergraduate/admissions,2/10/2025,Keya,2:13.45,,
UCSB,Y,Chemical Engineering,Advising,Y,,https://chemengr.ucsb.edu/undergraduate,2/10/2025,Keya,2:13.45,,
UCSB,Y,Chemical Engineering,Research,,,https://chemengr.ucsb.edu/research,2/10/2025,Keya,2:13.45,,
UCSB,Y,Chemical Engineering,Undergraduate Research,,,https://chemengr.ucsb.edu/undergraduate/career-research,2/10/2025,Keya,2:13.45,,
UCSB,Y,Chemical Engineering,DEI/JEDI,,,https://www.chemengr.ucsb.edu/diversity,2/10/2025,Keya,2:13.45,,
UCSB,Y,Chemical Engineering,Chair’s Message,,,,2/10/2025,Keya,2:13.45,,
UCSB,Y,Chemical Engineering,About,,,https://chemengr.ucsb.edu/about,2/10/2025,Keya,2:13.45,,
UCSB,Y,Chemical Engineering,Courses/Curriculum,,,,2/10/2025,Keya,2:13.45,,
,,,,,,,,,,,
