Institution,STEM,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,,,,
UC Berkeley,Y,Architecture,About,,,https://ced.berkeley.edu/arch/about,10/23/24,Keya,3:44,,,,,Linguistics
UC Berkeley,Y,Architecture,Courses/Curriculum,,,https://ced.berkeley.edu/arch/courses,10/23/24,Keya,3:44,,,,,
UC Berkeley,,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,N,Art History,Home/Landing,,,https://arthistory.berkeley.edu/,10/23/24,Keya,1:44,,,,,
UC Berkeley,N,Art History,Undergrad education,,,https://arthistory.berkeley.edu/undergraduate,10/23/24,Keya,1:44,,,,,
UC Berkeley,N,Art History,Prospective students,,,https://arthistory.berkeley.edu/undergraduate/declare-your-major,10/23/24,Keya,1:44,"""declare your major""",,,,Media Studies
UC Berkeley,N,Art History,Advising,,,https://arthistory.berkeley.edu/undergraduate/undergraduate-advising-0,10/23/24,Keya,1:44,,,,,Medieval Studies
UC Berkeley,N,Art History,Research,,,,10/23/24,Keya,1:44,,,,,"Mediterranean Archaeology, Ancient History and"
UC Berkeley,N,Art History,Undergraduate Research,,,,10/23/24,Keya,1:44,,,,,
UC Berkeley,N,Art History,DEI/JEDI,,,,10/23/24,Keya,1:44,,,,,"Middle Eastern Languages and Cultures, Department of"
UC Berkeley,N,Art History,Chair’s Message,,,https://arthistory.berkeley.edu/about-us/message-chair,10/23/24,Keya,1:44,,,,,Middle Eastern Studies
UC Berkeley,N,Art History,About,,,https://arthistory.berkeley.edu/about-us,10/23/24,Keya,1:44,,,,,
UC Berkeley,N,Art History,Courses/Curriculum,,,https://arthistory.berkeley.edu/current-course-offerings,10/23/24,Keya,1:44,,,,,
UC Berkeley,,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,N,Art Practice,Home/Landing,,,https://art.berkeley.edu/,10/23/24,Keya,2:54,,,,,"Music, Department of"
UC Berkeley,N,Art Practice,Undergrad education,,,https://art.berkeley.edu/major,10/23/24,Keya,2:54,BA not undergrad,,,,Native American Studies
UC Berkeley,N,Art Practice,Prospective students,,,,10/23/24,Keya,2:54,,,,,"Natural Resources, College of"
UC Berkeley,N,Art Practice,Advising,,,,10/23/24,Keya,2:54,,,,,
UC Berkeley,N,Art Practice,Research,,,,10/23/24,Keya,2:54,,,,,
UC Berkeley,N,Art Practice,Undergraduate Research,,,,10/23/24,Keya,2:54,,,,,"New Media, Berkeley Center for"
UC Berkeley,N,Art Practice,DEI/JEDI,,,,10/23/24,Keya,2:54,,,,,
UC Berkeley,N,Art Practice,Chair’s Message,,,,10/23/24,Keya,2:54,,,,,
UC Berkeley,N,Art Practice,About,Y,,https://art.berkeley.edu/,10/23/24,Keya,2:54,,,,,
UC Berkeley,N,Art Practice,Courses/Curriculum,,,https://art.berkeley.edu/courses-overview,10/23/24,Keya,2:54,,,,,
UC Berkeley,,,,,,,10/23/24,Keya,,,,,,Philosophy
