Institution,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,,,,
UC Berkeley,Physics,Research,,,https://physics.berkeley.edu/research-faculty,10/23/24,Keya,2:26,,,,,
UC Berkeley,Physics,Undergraduate Research,,,https://physics.berkeley.edu/academics/undergraduate-research,10/23/24,Keya,2:26,,,,,
UC Berkeley,Physics,DEI/JEDI,,,https://physics.berkeley.edu/equity-inclusion,10/23/24,Keya,2:26,,,,,
UC Berkeley,Physics,Chair’s Message,,,https://physics.berkeley.edu/welcome,10/23/24,Keya,2:26,,,,,
UC Berkeley,Physics,About,,,https://physics.berkeley.edu/welcome/history,10/23/24,Keya,2:26,,,,,
UC Berkeley,Physics,Courses/Curriculum,,,https://physics.berkeley.edu/academics/courses,10/23/24,Keya,2:26,,,,,
UC Berkeley,,,,,,,Keya,,,,,,
UC Berkeley,Business,Home/Landing,,,,,Keya,,,,,,
UC Berkeley,Business,Undergrad education,,,,,Keya,,,,,,
UC Berkeley,Business,Prospective students,,,,,Keya,,,,,,
UC Berkeley,Business,Advising,,,,,Keya,,,,,,
UC Berkeley,Business,Research,,,,,Keya,,,,,,
UC Berkeley,Business,Undergraduate Research,,,,,Keya,,,,,,
UC Berkeley,Business,DEI/JEDI,,,,,Keya,,,,,,
UC Berkeley,Business,Chair’s Message,,,,,Keya,,,,,,
UC Berkeley,Business,About,,,,,Keya,,,,,,
UC Berkeley,Business,Courses/Curriculum,,,,,Keya,,,,,,
UC Berkeley,,,,,,,Keya,,,,,,
UC Berkeley,"Chemical and Biomolecular Engineering, Department of",Home/Landing,,,https://chemistry.berkeley.edu/cbe,1/14,Keya,2:23,,,,,
UC Berkeley,"Chemical and Biomolecular Engineering, Department of",Undergrad education,,,https://chemistry.berkeley.edu/ugrad/degrees/cheme,1/14,Keya,2:23,,,,,
UC Berkeley,"Chemical and Biomolecular Engineering, Department of",Prospective students,,,https://chemistry.berkeley.edu/ugrad/prospective-students,1/14,Keya,2:23,,,,,
UC Berkeley,"Chemical and Biomolecular Engineering, Department of",Advising,,,https://chemistry.berkeley.edu/ugrad/student-services,1/14,Keya,2:23,,,,,
UC Berkeley,"Chemical and Biomolecular Engineering, Department of",Research,,,https://chemistry.berkeley.edu/cbe-research,1/14,Keya,2:23,,,,,
UC Berkeley,"Chemical and Biomolecular Engineering, Department of",Undergraduate Research,,,,1/14,Keya,2:23,,,,,
UC Berkeley,"Chemical and Biomolecular Engineering, Department of",DEI/JEDI,,,https://chemistry.berkeley.edu/cbe/diversity-equity-and-inclusion,1/14,Keya,2:23,,,,,
UC Berkeley,"Chemical and Biomolecular Engineering, Department of",Chair’s Message,,,,1/14,Keya,2:23,,,,,
UC Berkeley,"Chemical and Biomolecular Engineering, Department of",About,,,https://chemistry.berkeley.edu/about-dept-cbe,1/14,Keya,2:23,,,,,
UC Berkeley,"Chemical and Biomolecular Engineering, Department of",Courses/Curriculum,,,,1/14,Keya,,,,,,
UC Berkeley,,,,,,1/14,Keya,,,,,,
UC Berkeley,"Chemistry, Department of",Home/Landing,,,https://chemistry.berkeley.edu/chem,1/14,Keya,2:29,,,,,
UC Berkeley,"Chemistry, Department of",Undergrad education,,,https://chemistry.berkeley.edu/ugrad/degrees/,1/14,Keya,2:29,,,,,
UC Berkeley,"Chemistry, Department of",Prospective students,,,https://chemistry.berkeley.edu/ugrad/prospective-students,1/14,Keya,2:29,,,,,
UC Berkeley,"Chemistry, Department of",Advising,,,https://chemistry.berkeley.edu/ugrad/current-students/enrollment-advising,1/14,Keya,2:29,,,,,
UC Berkeley,"Chemistry, Department of",Research,,,https://chemistry.berkeley.edu/chem-research,1/14,Keya,2:29,,,,,
UC Berkeley,"Chemistry, Department of",Undergraduate Research,,,,1/14,Keya,2:29,,,,,
UC Berkeley,"Chemistry, Department of",DEI/JEDI,,,https://chemistry.berkeley.edu/deib,1/14,Keya,2:29,"some of this is from college of chemistry, not department",,,,
UC Berkeley,"Chemistry, Department of",Chair’s Message,,,,1/14,Keya,2:29,,,,,
UC Berkeley,"Chemistry, Department of",About,,,https://chemistry.berkeley.edu/about-dept-chemistry,1/14,Keya,2:29,,,,,
UC Berkeley,"Chemistry, Department of",Courses/Curriculum,,,,1/14,Keya,2:29,,,,,
UC Berkeley,,,,,,1/14,Keya,,,,,,
UC Berkeley,Civil and Environmental Engineering,Home/Landing,,,https://ce.berkeley.edu/,1/14,Keya,1:58,,,,,
UC Berkeley,Civil and Environmental Engineering,Undergrad education,,,https://ce.berkeley.edu/undergrad/prospective-students,1/14,Keya,1:58,current undergrads are subsection of prospective students tab,,,,
UC Berkeley,Civil and Environmental Engineering,Prospective students,,,https://ce.berkeley.edu/undergrad/prospective-students,1/14,Keya,1:58,,,,,
UC Berkeley,Civil and Environmental Engineering,Advising,,,https://ce.berkeley.edu/undergrad/advising,1/14,Keya,1:58,,,,,
UC Berkeley,Civil and Environmental Engineering,Research,,,,1/14,Keya,1:58,,,,,
UC Berkeley,Civil and Environmental Engineering,Undergraduate Research,,,,1/14,Keya,1:58,,,,,
UC Berkeley,Civil and Environmental Engineering,DEI/JEDI,,,https://ce.berkeley.edu/undergrad/diversity,1/14,Keya,1:58,,,,,
UC Berkeley,Civil and Environmental Engineering,Chair’s Message,,,,1/14,Keya,1:58,,,,,
UC Berkeley,Civil and Environmental Engineering,About,,,https://ce.berkeley.edu/about/overview,1/14,Keya,1:58,,,,,
UC Berkeley,Civil and Environmental Engineering,Courses/Curriculum,,,https://ce.berkeley.edu/undergrad/curriculum,1/14,Keya,1:58,,,,,
UC Berkeley,,,,,,1/14,Keya,,,,,,
UC Berkeley,Electrical Engineering and Computer Sciences,Home/Landing,,,https://eecs.berkeley.edu/,1/14,Keya,2:40,,,,,
UC Berkeley,Electrical Engineering and Computer Sciences,Undergrad education,,,https://eecs.berkeley.edu/academics/undergraduate/,1/14,Keya,2:40,,,,,
UC Berkeley,Electrical Engineering and Computer Sciences,Prospective students,,,,1/14,Keya,2:40,,,,,
UC Berkeley,Electrical Engineering and Computer Sciences,Advising,,,https://eecs.berkeley.edu/resources/undergrads/,1/14,Keya,2:40,,,,,
UC Berkeley,Electrical Engineering and Computer Sciences,Research,,,https://eecs.berkeley.edu/research/,1/14,Keya,2:40,,,,,
UC Berkeley,Electrical Engineering and Computer Sciences,Undergraduate Research,,,https://eecs.berkeley.edu/resources/undergrads/undergraduate-resesarch/,1/14,Keya,2:40,,,,,
UC Berkeley,Electrical Engineering and Computer Sciences,DEI/JEDI,,,,1/14,Keya,2:40,,,,,
UC Berkeley,Electrical Engineering and Computer Sciences,Chair’s Message,,,,1/14,Keya,2:40,,,,,
UC Berkeley,Electrical Engineering and Computer Sciences,About,,,https://eecs.berkeley.edu/about/,1/14,Keya,2:40,,,,,
UC Berkeley,Electrical Engineering and Computer Sciences,Courses/Curriculum,,,https://eecs.berkeley.edu/academics/courses/,1/14,Keya,2:40,,,,,
UC Berkeley,,,,,,1/14,Keya,,,,,,
UC Berkeley,Statistics,Home/Landing,,,https://statistics.berkeley.edu/,1/14,Keya,1:33,,,,,
UC Berkeley,Statistics,Undergrad education,,,https://statistics.berkeley.edu/academics/undergrad/program,1/14,Keya,1:33,,,,,
UC Berkeley,Statistics,Prospective students,,,https://statistics.berkeley.edu/academics/undergrad/prospective,1/14,Keya,1:33,,,,,
